,product,level_1,level_2,target,,,
1541,áo len vàng,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,,count 
4041,Áo len rớt vai 211 NQ,Thời trang - Phụ kiện,Thời trang nữ,"Áo cardigan, áo len, áo hoodie nữ",,,0
4081,ao len lo lo pha mau,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Thực phẩm - Đồ uống khác,2
7421,ÁO TD LEN MẮT CƯỜM HỒNG,Thời trang - Phụ kiện,Thời trang nữ,"Áo cardigan, áo len, áo hoodie nữ",,Đồ dùng phòng bếp khác,5
7841,Áo len sweet cổ viền hoa lụa BG nhí H2043,Thời trang - Phụ kiện,Thời trang nữ,"Áo cardigan, áo len, áo hoodie nữ",,Đồ hộp khác,7
8061,Áo Len Nữ Cổ Tròn W,Thời trang - Phụ kiện,Thời trang nữ,"Áo cardigan, áo len, áo hoodie nữ",,Quần nam khác,9
8401,Len PM Verca,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Balo du lịch, phượt",10
15901,Len lông vai lưới,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Balo mini,10
5241,áo vàng nỉ bông,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Balo, cặp đựng laptop",10
2701,Áo khoác len ngắn cánh dơi,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Balo, túi, cặp & phụ kiện khác",10
2981,áo dạ khuy có mũ,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Bia,10
5061,khoac da ca nu,Thời trang - Phụ kiện,Thời trang nữ,Áo khoác nữ,,Bánh kẹo khác,10
4541,BBN BRA ĐÙI 19395 - 460,Thời trang - Phụ kiện,Thời trang nữ,Áo ngực,,"Bánh tráng, bánh phở, bánh đa, bún khô",10
4601,Ao lot 1339,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Bình đựng nước,10
11321,Áo ngực Nosbra 103,Thời trang - Phụ kiện,Thời trang nữ,Áo ngực,,"Bình, ấm, đồ dùng uống trà",10
12521,Áo kiểu Yumiji nút ngực rút nền cam sp14168,Thời trang - Phụ kiện,Thời trang nữ,Áo ngực,,Bóng đèn,10
15161,1951-Bộ Syzanne Vega ren dây chéo - Mận,Thời trang - Phụ kiện,Thời trang nữ,Áo ngực,,Bông tai nữ,10
1261,QUẦN QS596M+.KEDEN,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Quần Nam/Nữ,,"Bật lửa, diêm",10
1281,Áo phông đen Loewe,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Bếp gas, bếp lò",10
2021,Áo Thun Tăm,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Bộ chăm sóc da mặt,10
2221,ÁO THUN DÀI TAY HM TRỄ VAI Tk T9,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Ca đựng nước,10
2541,SET ÁO PEPLUM ĐEN TAY LƯỚI,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Chiếu,10
3001,Áo phông Moses Queen hình cây dừa CALIFORNIA,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Chén đĩa dùng một lần,10
4061,Pull trắng mickey,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,Chăm sóc móng,10
4381,ÁO TD LỆCH CHỮ MẠ TRẮNG,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Chăn, mền và phụ kiện",10
4501,Korea-Áo thun from rộng in hình đủ hình thú,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Chảo, chảo chống dính",10
7241,áo croptop cúc lưng,Thời trang - Phụ kiện,Thời trang nữ,Áo thun nữ,,Chống lão hóa,10
7501,áo nhung hình môi,Thời trang - Phụ kiện,Thời trang - Phụ kiện không phân biệt giới tính,Áo Nam/Nữ,,"Chổi quét nhà, lau nhà",10
